Escenario,Algoritmo,Alcanzo el resultado,Estados Explorados,Tiempo de Ejecución,Alcanzo el limite,Costo del Camino
11,busqueda costo Uniforme E2,True,8083,0.08395028114318848,False,213
12,busqueda costo Uniforme E2,True,4000,0.04304313659667969,False,165
13,busqueda costo Uniforme E2,True,3908,0.0439760684967041,False,120
14,busqueda costo Uniforme E2,True,608,0.011994361877441406,False,44
15,busqueda costo Uniforme E2,True,8474,0.09094691276550293,False,168
16,busqueda costo Uniforme E2,True,9403,0.10219073295593262,False,301
17,busqueda costo Uniforme E2,True,2576,0.03897905349731445,False,83
18,busqueda costo Uniforme E2,True,310,0.008995771408081055,False,25
19,busqueda costo Uniforme E2,True,1837,0.021988630294799805,False,102
20,busqueda costo Uniforme E2,True,1539,0.019988536834716797,False,93
21,busqueda costo Uniforme E2,True,947,0.014991044998168945,False,75
22,busqueda costo Uniforme E2,True,6939,0.07597184181213379,False,167
23,busqueda costo Uniforme E2,True,1666,0.02198648452758789,False,59
24,busqueda costo Uniforme E2,True,1713,0.020987987518310547,False,66
25,busqueda costo Uniforme E2,True,8339,0.08893823623657227,False,172
26,busqueda costo Uniforme E2,True,3144,0.0359799861907959,False,106
27,busqueda costo Uniforme E2,True,1344,0.0179898738861084,False,52
28,busqueda costo Uniforme E2,True,6199,0.06596136093139648,False,200
29,busqueda costo Uniforme E2,True,1319,0.01797628402709961,False,51
30,busqueda costo Uniforme E2,True,3034,0.03417158126831055,False,189
