N_Reinas,Algoritmo,Optima,truncado?,Explorados,Tiempo,reinas_atacandose
4,Genetic Algorithm,True,False,0,0.0,0
4,Genetic Algorithm,True,False,0,0.0009996891021728516,0
4,Genetic Algorithm,True,False,0,0.0,0
4,Genetic Algorithm,True,False,0,0.0009984970092773438,0
4,Genetic Algorithm,True,False,0,0.0,0
4,Genetic Algorithm,True,False,0,0.0,0
4,Genetic Algorithm,True,False,0,0.0010006427764892578,0
4,Genetic Algorithm,True,False,0,0.0,0
4,Genetic Algorithm,True,False,0,0.0,0
4,Genetic Algorithm,True,False,0,0.0009982585906982422,0
4,Genetic Algorithm,True,False,0,0.0,0
4,Genetic Algorithm,True,False,0,0.0009999275207519531,0
4,Genetic Algorithm,True,False,0,0.0009989738464355469,0
4,Genetic Algorithm,True,False,0,0.0,0
4,Genetic Algorithm,True,False,0,0.0009996891021728516,0
4,Genetic Algorithm,True,False,0,0.0,0
8,Genetic Algorithm,False,False,30,0.07595562934875488,5
8,Genetic Algorithm,False,False,30,0.07096004486083984,3
8,Genetic Algorithm,False,False,30,0.07197022438049316,4
8,Genetic Algorithm,False,False,30,0.06994795799255371,2
8,Genetic Algorithm,False,False,30,0.07097101211547852,3
8,Genetic Algorithm,False,False,30,0.06994867324829102,5
8,Genetic Algorithm,False,False,30,0.06996011734008789,3
8,Genetic Algorithm,False,False,30,0.06996011734008789,4
8,Genetic Algorithm,False,False,30,0.06995964050292969,4
8,Genetic Algorithm,False,False,30,0.12492895126342773,5
8,Genetic Algorithm,False,False,30,0.07295823097229004,5
8,Genetic Algorithm,False,False,30,0.06896138191223145,4
8,Genetic Algorithm,False,False,30,0.08595061302185059,5
8,Genetic Algorithm,False,False,30,0.08195281028747559,5
8,Genetic Algorithm,False,False,30,0.08195328712463379,4
8,Genetic Algorithm,False,False,30,0.07895612716674805,4
8,Genetic Algorithm,False,False,30,0.06995987892150879,4
8,Genetic Algorithm,False,False,30,0.06995964050292969,4
8,Genetic Algorithm,False,False,30,0.06797289848327637,2
8,Genetic Algorithm,False,False,30,0.06896352767944336,2
8,Genetic Algorithm,False,False,30,0.07096338272094727,3
8,Genetic Algorithm,False,False,30,0.07194304466247559,3
8,Genetic Algorithm,True,False,0,0.0020034313201904297,0
8,Genetic Algorithm,True,False,0,0.0009951591491699219,0
8,Genetic Algorithm,True,False,0,0.001999378204345703,0
8,Genetic Algorithm,True,False,0,0.0009989738464355469,0
8,Genetic Algorithm,True,False,0,0.0009992122650146484,0
8,Genetic Algorithm,True,False,0,0.0019996166229248047,0
8,Genetic Algorithm,True,False,0,0.0009992122650146484,0
8,Genetic Algorithm,True,False,0,0.002997875213623047,0
10,Genetic Algorithm,False,False,30,0.1029515266418457,7
10,Genetic Algorithm,False,False,30,0.09993171691894531,4
10,Genetic Algorithm,False,False,30,0.10295271873474121,4
10,Genetic Algorithm,False,False,30,0.10392904281616211,4
10,Genetic Algorithm,False,False,30,0.10195517539978027,6
10,Genetic Algorithm,False,False,30,0.09994125366210938,5
10,Genetic Algorithm,False,False,30,0.09894275665283203,5
10,Genetic Algorithm,False,False,30,0.10095381736755371,5
10,Genetic Algorithm,False,False,30,0.09894752502441406,5
10,Genetic Algorithm,False,False,30,0.09992694854736328,6
10,Genetic Algorithm,False,False,30,0.09895443916320801,3
10,Genetic Algorithm,False,False,30,0.09993195533752441,4
10,Genetic Algorithm,False,False,30,0.10194182395935059,5
10,Genetic Algorithm,False,False,30,0.10194182395935059,5
10,Genetic Algorithm,False,False,30,0.09995365142822266,6
10,Genetic Algorithm,False,False,30,0.09994244575500488,4
10,Genetic Algorithm,False,False,30,0.09894442558288574,3
10,Genetic Algorithm,False,False,30,0.0989539623260498,6
10,Genetic Algorithm,False,False,30,0.09894347190856934,6
10,Genetic Algorithm,False,False,30,0.10294055938720703,5
10,Genetic Algorithm,False,False,30,0.10093259811401367,5
10,Genetic Algorithm,False,False,30,0.09995269775390625,4
10,Genetic Algorithm,False,False,30,0.09993195533752441,4
10,Genetic Algorithm,False,False,30,0.10194253921508789,4
10,Genetic Algorithm,False,False,30,0.10294032096862793,4
10,Genetic Algorithm,False,False,30,0.10094356536865234,6
10,Genetic Algorithm,False,False,30,0.10008692741394043,4
10,Genetic Algorithm,False,False,30,0.09994292259216309,5
10,Genetic Algorithm,False,False,30,0.10294198989868164,6
10,Genetic Algorithm,False,False,30,0.10111546516418457,4
