N_Reinas,Algoritmo,Optima,truncado?,Explorados,Tiempo,reinas_atacandose
10,BackTracking,True,False,975,0.0019996166229248047,0
10,BackTracking,True,False,975,0.0019898414611816406,0
10,BackTracking,True,False,975,0.0019981861114501953,0
10,BackTracking,True,False,975,0.002187967300415039,0
10,BackTracking,True,False,975,0.0019996166229248047,0
10,BackTracking,True,False,975,0.0019986629486083984,0
10,BackTracking,True,False,975,0.0019888877868652344,0
10,BackTracking,True,False,975,0.001987934112548828,0
10,BackTracking,True,False,975,0.002999544143676758,0
10,BackTracking,True,False,975,0.002997875213623047,0
10,BackTracking,True,False,975,0.001999378204345703,0
10,BackTracking,True,False,975,0.0019996166229248047,0
10,BackTracking,True,False,975,0.0029871463775634766,0
10,BackTracking,True,False,975,0.0029909610748291016,0
10,BackTracking,True,False,975,0.0019979476928710938,0
10,BackTracking,True,False,975,0.0019898414611816406,0
10,BackTracking,True,False,975,0.0029993057250976562,0
10,BackTracking,True,False,975,0.002997875213623047,0
10,BackTracking,True,False,975,0.001998424530029297,0
10,BackTracking,True,False,975,0.001998424530029297,0
10,BackTracking,True,False,975,0.0029900074005126953,0
10,BackTracking,True,False,975,0.001998424530029297,0
10,BackTracking,True,False,975,0.0029981136322021484,0
